Unigram,Bigram,Trigram,Quatrgram,variable,value
they,for a,thanks for the,if you want to,Frequency Unigram,5916
said,with a,this is a,thanks for the follow,Frequency Unigram,5930
from,from the,the rest of,is going to be,Frequency Unigram,6892
not,is a,it was a,i dont want to,Frequency Unigram,7153
are,it was,part of the,going to be a,Frequency Unigram,8269
but,with the,i want to,in the middle of,Frequency Unigram,8417
have,in a,be able to,when it comes to,Frequency Unigram,9085
this,and the,the end of,at the same time,Frequency Unigram,9508
was,at the,going to be,to be able to,Frequency Unigram,11764
with,to be,out of the,is one of the,Frequency Unigram,13018
you,for the,some of the,one of the most,Frequency Unigram,13138
for,on the,as well as,for the first time,Frequency Unigram,18010
that,to the,to be a,at the end of,Frequency Unigram,18680
and,in the,a lot of,the rest of the,Frequency Unigram,44933
the,of the,one of the,the end of the,Frequency Unigram,86619
they,for a,thanks for the,if you want to,Frequency Bigram,1587
said,with a,this is a,thanks for the follow,Frequency Bigram,1610
from,from the,the rest of,is going to be,Frequency Bigram,1634
not,is a,it was a,i dont want to,Frequency Bigram,1837
are,it was,part of the,going to be a,Frequency Bigram,1870
but,with the,i want to,in the middle of,Frequency Bigram,2063
have,in a,be able to,when it comes to,Frequency Bigram,2144
this,and the,the end of,at the same time,Frequency Bigram,2344
was,at the,going to be,to be able to,Frequency Bigram,2495
with,to be,out of the,is one of the,Frequency Bigram,2771
you,for the,some of the,one of the most,Frequency Bigram,3291
for,on the,as well as,for the first time,Frequency Bigram,3406
that,to the,to be a,at the end of,Frequency Bigram,3890
and,in the,a lot of,the rest of the,Frequency Bigram,7357
the,of the,one of the,the end of the,Frequency Bigram,8248
they,for a,thanks for the,if you want to,Frequency Trigram,186
said,with a,this is a,thanks for the follow,Frequency Trigram,196
from,from the,the rest of,is going to be,Frequency Trigram,209
not,is a,it was a,i dont want to,Frequency Trigram,231
are,it was,part of the,going to be a,Frequency Trigram,238
but,with the,i want to,in the middle of,Frequency Trigram,247
have,in a,be able to,when it comes to,Frequency Trigram,253
this,and the,the end of,at the same time,Frequency Trigram,257
was,at the,going to be,to be able to,Frequency Trigram,289
with,to be,out of the,is one of the,Frequency Trigram,289
you,for the,some of the,one of the most,Frequency Trigram,293
for,on the,as well as,for the first time,Frequency Trigram,307
that,to the,to be a,at the end of,Frequency Trigram,310
and,in the,a lot of,the rest of the,Frequency Trigram,529
the,of the,one of the,the end of the,Frequency Trigram,627
they,for a,thanks for the,if you want to,Frequency Quatr,52
said,with a,this is a,thanks for the follow,Frequency Quatr,52
from,from the,the rest of,is going to be,Frequency Quatr,53
not,is a,it was a,i dont want to,Frequency Quatr,54
are,it was,part of the,going to be a,Frequency Quatr,55
but,with the,i want to,in the middle of,Frequency Quatr,61
have,in a,be able to,when it comes to,Frequency Quatr,75
this,and the,the end of,at the same time,Frequency Quatr,78
was,at the,going to be,to be able to,Frequency Quatr,78
with,to be,out of the,is one of the,Frequency Quatr,82
you,for the,some of the,one of the most,Frequency Quatr,83
for,on the,as well as,for the first time,Frequency Quatr,102
that,to the,to be a,at the end of,Frequency Quatr,113
and,in the,a lot of,the rest of the,Frequency Quatr,125
the,of the,one of the,the end of the,Frequency Quatr,138
